"thumbnail","title","location","roomType","price/breakDown/basePrice/description","price/breakDown/basePrice/price","price/breakDown/earlyBirdDiscount/description","price/breakDown/earlyBirdDiscount/price","price/breakDown/specialOffer/description","price/breakDown/specialOffer/price","price/breakDown/total/description","price/breakDown/total/price","price/discountedPrice","price/label","price/originalPrice","price/price","price/qualifier","rating/accuracy","rating/checking","rating/cleanliness","rating/communication","rating/guestSatisfaction","rating/location","rating/reviewsCount","rating/value","personCapacity","url"
"https://a0.muscache.com/im/pictures/hosting/Hosting-1503943601546560413/original/55503092-98c3-47c6-8e23-39d57c86f585.jpeg","Luxury 2BR BEST Views @ Eastwood w/ Washer & Dryer","Quezon City","Entire condo","5 nights x $119.49","$597.47",,,,,"Total (calculated price, may vary)","$598",,"$598 for 5 nights",,"$598","for 5 nights","5","4.9","4.9","5","5","5","25","5","6","https://www.airbnb.com/rooms/1503943601546560413?check_in=2026-06-09&check_out=2026-06-14&adults=1&locale=en-US&currency=USD"
"https://a0.muscache.com/im/pictures/hosting/Hosting-1159212863516055630/original/c7b19cc5-5728-4029-b7a7-0598efdfe7de.jpeg","Spacious Caveroom in Lower Floor | Prime Location","Quezon City","Entire home","5 nights x $105.53","$527.65",,,,,"Total (calculated price, may vary)","$528",,"$528 for 5 nights",,"$528","for 5 nights","5","5","4.9","4.9","4.92","4.9","117","4.9","8","https://www.airbnb.com/rooms/1159212863516055630?check_in=2026-06-09&check_out=2026-06-14&adults=1&locale=en-US&currency=USD"
"https://a0.muscache.com/im/pictures/458760d2-2a35-4363-8901-f9a1d2ba2938.jpg","Entire Modern Stylish Home with Swimming Pool","Quezon City","Entire home","5 nights x $293.08","$1,465.39",,,,,"Total (calculated price, may vary)","$1,466",,"$1,466 for 5 nights",,"$1,466","for 5 nights","4.8","4.9","4.8","4.7","4.77","4.7","118","4.7","8","https://www.airbnb.com/rooms/592898033170681966?check_in=2026-06-09&check_out=2026-06-14&adults=1&locale=en-US&currency=USD"
"https://a0.muscache.com/im/pictures/hosting/Hosting-1351259927047308893/original/d38ede95-86cb-47f7-9362-03cff9e57c69.jpeg","Bahá'í Community","Quezon City","Entire guesthouse","5 nights x $313.82","$1,569.08",,,,,"Total (calculated price, may vary)","$1,570",,"$1,570 for 5 nights",,"$1,570","for 5 nights","4.9","4.8","4.8","4.9","4.95","4.9","22","4.8","14","https://www.airbnb.com/rooms/1351259927047308893?check_in=2026-06-09&check_out=2026-06-14&adults=1&locale=en-US&currency=USD"
"https://a0.muscache.com/im/pictures/hosting/Hosting-1188207618023888648/original/0735d043-c4bd-4992-b084-86b8c0c9b31f.jpeg","White-Sand Villa/ Siargao vibes in QC","Lungsod Quezon","Entire villa","5 nights x $224.10","$1,120.49",,,,,"Total (calculated price, may vary)","$1,121",,"$1,121 for 5 nights",,"$1,121","for 5 nights","4.9","4.9","4.8","4.8","4.82","4.7","73","4.7","16","https://www.airbnb.com/rooms/1188207618023888648?check_in=2026-06-09&check_out=2026-06-14&adults=1&locale=en-US&currency=USD"
"https://a0.muscache.com/im/pictures/hosting/Hosting-1689767915593772976/original/9dfccf79-70b4-40a9-91fa-9d041cb588e8.png","Luxury 2BR Loft w/ Parking | Eastwood Mall","Quezon City","Room in hotel","5 nights x $128.56","$642.82",,,,,"Total (calculated price, may vary)","$643",,"$643 for 5 nights",,"$643","for 5 nights","5","5","4.8","5","5","5","4","5","7","https://www.airbnb.com/rooms/1689767915593772976?check_in=2026-06-09&check_out=2026-06-14&adults=1&locale=en-US&currency=USD"
"https://a0.muscache.com/im/pictures/hosting/Hosting-1664301841777839577/original/51aea9d2-6335-4202-b468-bbcd63a316a1.jpeg","Luxurious 2BR Loft w/ Nice View | Eastwood Mall","Quezon City","Entire rental unit","5 nights x $139.10","$695.49",,,,,"Total (calculated price, may vary)","$696",,"$696 for 5 nights",,"$696","for 5 nights","4.8","4.4","5","4.8","4.8","5","5","4.8","7","https://www.airbnb.com/rooms/1664301841777839577?check_in=2026-06-09&check_out=2026-06-14&adults=1&locale=en-US&currency=USD"
"https://a0.muscache.com/im/pictures/6006be79-4ec3-4551-8c1b-59985527d89f.jpg","Private Pool Villa Near Philippine Arena","Meycauayan","Entire home","5 nights x $173.40","$866.99",,,,,"Total (calculated price, may vary)","$867",,"$867 for 5 nights",,"$867","for 5 nights","5","4.9","4.9","4.9","4.93","4.6","74","4.8","8","https://www.airbnb.com/rooms/800345993355278858?check_in=2026-06-09&check_out=2026-06-14&adults=1&locale=en-US&currency=USD"
"https://a0.muscache.com/im/pictures/hosting/Hosting-1455395529203835647/original/3bb79395-16d8-4b68-aac5-f3c78276081f.jpeg","CAMA Guesthouse with Indoor Pool-Fairview QC","Quezon City","Entire rental unit","5 nights x $107.44","$537.18",,,,,"Total (calculated price, may vary)","$538",,"$538 for 5 nights",,"$538","for 5 nights","4.9","4.9","4.9","5","4.95","4.9","85","5","6","https://www.airbnb.com/rooms/1455395529203835647?check_in=2026-06-09&check_out=2026-06-14&adults=1&locale=en-US&currency=USD"
"https://a0.muscache.com/im/pictures/hosting/Hosting-1669961274352196543/original/6600da1f-7040-49cb-9506-94a24adb2c0b.png","Premier Penthouse(20pax)FREE-1 Parking","Mandaluyong","Entire rental unit","5 nights x $111.77","$558.84",,,,,"Total (calculated price, may vary)","$559",,"$559 for 5 nights",,"$559","for 5 nights","5","4.9","5","4.9","5","4.9","14","5","16","https://www.airbnb.com/rooms/1669961274352196543?check_in=2026-06-09&check_out=2026-06-14&adults=1&locale=en-US&currency=USD"
"https://a0.muscache.com/im/pictures/hosting/Hosting-1364997919482714933/original/9e92d400-7381-41d1-9d42-6642f02fcf73.jpeg","1BR Muji Home near Eastwood Mall —City Skyline","Quezon City","Entire rental unit","5 nights x $102.76","$513.78",,,,,"Total (calculated price, may vary)","$514",,"$514 for 5 nights",,"$514","for 5 nights","4.9","4.9","5","5","4.96","4.9","45","4.9","5","https://www.airbnb.com/rooms/1364997919482714933?check_in=2026-06-09&check_out=2026-06-14&adults=1&locale=en-US&currency=USD"
